run_name,operating_time,commission_time,target_design_cost,target_build_cost,ipd_target_cost,design_cost,build_cost,OM_per_year,revenue_per_year,discount_rate,contingency,ipd_contingency,profit_margin,actual_design_progress,actual_build_progress,target_design_progress,target_build_progress,vendor_design,AE_design,constructor_design,utility_design,vendor_build,AE_build,constructor_build,utility_build,vendor_om,AE_om,constructor_om,utility_om,vendor_rev,AE_rev,constructor_rev,utility_rev,vendor_pool,AE_pool,constructor_pool,utility_pool,fixed_price_npv_vendor,fixed_price_npv_AE,fixed_price_npv_constructor,fixed_price_npv_utility,fixed_price_npv_total,cost_plus_npv_vendor,cost_plus_npv_AE,cost_plus_npv_constructor,cost_plus_npv_utility,cost_plus_npv_total,ipd_npv_vendor,ipd_npv_AE,ipd_npv_constructor,ipd_npv_utility,ipd_npv_total
1065 MWe Browns Ferry 1 (Before TMI),60,1,19092641.95,877607247,896699889,19092641.95,2538988258,186610000,1341133200,0.096,0.1,0.1,0.1,"25,50,75,100","48,55,63,70,78,85,93,100","25,50,75,100","30,40,50,60,70,80,90,100",0.25,0,0,0.75,0.15,0,0,0.85,0,0,0,1,0,0,0,1,0.15,0,0,0.85,-147157501.9728237,0.0,0.0,2565879463.1173315,2418721961.144508,22756954.375187013,0.0,0.0,2395965006.769321,2418721961.144508,661597.4397616535,0.0,0.0,2418060363.7047467,2418721961.1445084
1084 MWe Diablo Canyon 1 (During TMI),59,1,80326823.34,1289929628,1370256451,80326823.34,10872631202,186610000,1365059520,0.096,0.1,0.1,0.1,"25,50,75,100","34,38.125,42.25,46.375,50.5,54.625,58.75,62.875,67,71.125,75.25,79.375,83.5,87.625,91.75,95.875,100","25,50,75,100","30,40,50,60,70,80,90,100",0.25,0,0,0.75,0.15,0,0,0.85,0,0,0,1,0,0,0,1,0.15,0,0,0.85,-643470090.6403188,0.0,0.0,-2724261222.6673717,-3367731313.3076906,77551305.54292849,0.0,0.0,-3445282618.850623,-3367731313.3076944,2783481.762508571,0.0,0.0,-3370514795.0702014,-3367731313.307693
1120 MWe Callaway (After TMI),59,1,62177810.15,3294762106,3356939917,62177810.15,8695573198,186610000,1357503840,0.096,0.1,0.1,0.1,"25,50,75,100","26,33.4,40.8,48.2,55.6,63,70.4,77.8,85.2,92.6,100","25,50,75,100","30,40,50,60,70,80,90,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,-367463731.26702416,-485185074.04164195,-1357853463.470747,824082996.01724,-1386419272.7621732,66683313.82996038,91180879.22457743,239511936.98366827,-1783795402.8003798,-1386419272.7621737,2154582.9075386524,6463748.722616017,0.0,-1395037604.3923283,-1386419272.7621737
1000 MWe Stick Built - To Plan,60,1,187173913,1845000000,2032173913,187173913,1845000000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,15591067.49660252,35136892.50317004,25599881.97060299,-319007751.1780579,-242679909.20768237,19661366.02198561,33047917.794885557,57059596.596356824,-352448789.62091017,-242679909.2076822,26678974.515075877,46381870.51588082,74041116.66456297,-389781870.90320194,-242679909.20768225
1000 MWe Stick Built - Slightly Behind Schedule,60,1,187173913,1845000000,2032173913,187173913,1845000000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,74,83,92,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,16712403.682294697,36632007.41742627,29711447.98480761,-402238612.64141583,-319182753.55688727,19549232.403416395,32898406.303459935,56648439.99493636,-428278832.2587,-319182753.5568873,24910241.801124804,44023560.230612725,67555763.38007571,-455672318.9687007,-319182753.55688745
1000 MWe Stick Built - Moderately Behind Schedule,60,1,187173913,1845000000,2032173913,187173913,1845000000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,50,62,70,78,85,92,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,19943804.63014266,40940542.014556915,41559918.126916885,-476706990.3432945,-374262725.57167804,19226092.30863159,32467552.84374687,55463592.98072545,-481419963.7047821,-374262725.5716782,23296434.580366526,41871817.26960169,61638470.237295344,-501069447.65894157,-374262725.571678
1000 MWe Stick Built - Extremely Behind Schedule,60,1,187173913,1845000000,2032173913,187173913,1845000000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,38,45,54,63,70,78,85,92,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,25834422.631662965,48794699.34991731,63158850.79915798,-542691084.1212746,-404903111.34053636,18637030.50847956,31682137.11021083,53303699.71350132,-508525978.6727276,-404903111.3405359,21823982.73660897,39908548.144591615,56239480.14351764,-522875122.36525416,-404903111.34053594
1000 MWe Stick Built - Slightly Ahead of Schedule,60,1,187173913,1845000000,2032173913,187173913,1845000000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,49,60,75,89,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,9052123.799070433,26418300.906460613,1623755.0796520114,-231326699.83956,-194232520.05437696,20315260.391738817,33919776.9545565,59457209.28545194,-307924766.68612415,-194232520.0543769,28617505.569566254,48966578.58853465,81149063.86436102,-352965668.0768388,-194232520.05437687
1000 MWe Stick Built - Moderately Ahead of Schedule,60,1,187173913,1845000000,2032173913,187173913,1845000000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,53,68,85,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,4763334.836810067,20699915.623446792,-14101804.448635995,-133309672.01907644,-121948226.00745557,20744139.287964854,34491615.48285788,61029765.23828074,-238213746.01655868,-121948226.0074552,30742135.605287712,51799418.636163265,88939373.99533969,-293429154.24424595,-121948226.00745527
1000 MWe Stick Built - Slightly Over Budget,60,1,187173913,1845000000,2032173913,187173913,1900350000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,10922555.04780969,28912209.23811294,8482002.99169588,-322120092.8105867,-273803325.53296816,20128217.26686489,33670386.12139125,58771384.49424757,-386373313.4154717,-273803325.532968,23650019.742434666,42343264.15235919,62934949.16487852,-402731558.59264004,-273803325.5329677
