,fixed_price_npv_vendor,fixed_price_npv_AE,fixed_price_npv_constructor,fixed_price_npv_utility,fixed_price_npv_total,cost_plus_npv_vendor,cost_plus_npv_AE,cost_plus_npv_constructor,cost_plus_npv_utility,cost_plus_npv_total,ipd_npv_vendor,ipd_npv_AE,ipd_npv_constructor,ipd_npv_utility,ipd_npv_total
Browns Ferry 1 (Before TMI),-147157502,0,0,2565879463,2418721961,22756954.38,0,0,2395965007,2418721961,396958.4639,0,0,2418325003,2418721961
Diablo Canyon 1 (During TMI),-643470090.6,0,0,-2724261223,-3367731313,77551305.54,0,0,-3445282619,-3367731313,1670089.058,0,0,-3369401402,-3367731313
Callaway (After TMI),-367463731.3,-485185074,-1357853463,824082996,-1386419273,66683313.83,91180879.22,239511937,-1783795403,-1386419273,861833.163,861833.163,2585499.489,-1390728439,-1386419273
,,,,,,,,,,,,,,,
Overall,,,,,,,,,,,,,,,
,NPV Total,,,,,,,,,,,,,,
Browns Ferry 1 (Before TMI),2418721961,,,,,,,,,,,,,,
Diablo Canyon 1 (During TMI),-3367731313,,,,,,,,,,,,,,
Callaway (After TMI),-1386419273,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Vendor,,,,,,,,,,,,,,,
,Fixed Price,Cost-Plus,IPD,,,,,,,,,,,,
Browns Ferry 1 (Before TMI),-147157502,22756954.38,396958.4639,,,,,,,,,,,,
Diablo Canyon 1 (During TMI),-643470090.6,77551305.54,1670089.058,,,,,,,,,,,,
Callaway (After TMI),-367463731.3,66683313.83,861833.163,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AE,,,,,,,,,,,,,,,
,Fixed Price,Cost-Plus,IPD,,,,,,,,,,,,
Browns Ferry 1 (Before TMI),0,0,0,,,,,,,,,,,,
Diablo Canyon 1 (During TMI),0,0,0,,,,,,,,,,,,
Callaway (After TMI),-485185074,91180879.22,861833.163,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Constructor,,,,,,,,,,,,,,,
,Fixed Price,Cost-Plus,IPD,,,,,,,,,,,,
Browns Ferry 1 (Before TMI),0,0,0,,,,,,,,,,,,
Diablo Canyon 1 (During TMI),0,0,0,,,,,,,,,,,,
Callaway (After TMI),-1357853463,239511937,2585499.489,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Utility,,,,,,,,,,,,,,,
,Fixed Price,Cost-Plus,IPD,,,,,,,,,,,,
Browns Ferry 1 (Before TMI),2565879463,2395965007,2418325003,,,,,,,,,,,,
Diablo Canyon 1 (During TMI),-2724261223,-3445282619,-3369401402,,,,,,,,,,,,
Callaway (After TMI),824082996,-1783795403,-1390728439,,,,,,,,,,,,
